,year,region,indicator,no_accidents,x_x,y_x,driving_licenses,x_y,y_y
0,2016,Makkah,No. of Casualties - Injured,12383.0,21.628962766,41.2636898334,136055,21.628962766,41.2636898334
1,2016,Makkah,No. of Accidents,134838.0,21.628962766,41.2636898334,136055,21.628962766,41.2636898334
2,2016,Makkah,No. of Casualties - Dead,2243.0,21.628962766,41.2636898334,136055,21.628962766,41.2636898334
3,2016,Eastern,No. of Casualties - Dead,1113.0,23.2883307307,50.1478302439,142307,23.2883307307,50.1478302439
4,2016,Eastern,No. of Accidents,101619.0,23.2883307307,50.1478302439,142307,23.2883307307,50.1478302439
5,2016,Eastern,No. of Casualties - Injured,4893.0,23.2883307307,50.1478302439,142307,23.2883307307,50.1478302439
6,2016,Tabouk,No. of Casualties - Dead,434.0,27.90165499,37.2598581394,13610,27.90165499,37.2598581394
7,2016,Tabouk,No. of Accidents,16031.0,27.90165499,37.2598581394,13610,27.90165499,37.2598581394
8,2016,Tabouk,No. of Casualties - Injured,1724.0,27.90165499,37.2598581394,13610,27.90165499,37.2598581394
9,2016,Hail,No. of Casualties - Dead,299.0,27.400845724,41.4406960508,54507,27.400845724,41.4406960508
10,2016,Hail,No. of Accidents,10199.0,27.400845724,41.4406960508,54507,27.400845724,41.4406960508
11,2016,Hail,No. of Casualties - Injured,932.0,27.400845724,41.4406960508,54507,27.400845724,41.4406960508
12,2016,Northern Boarder,No. of Casualties - Dead,193.0,30.197074783,41.8171186952,4958,30.197074783,41.8171186952
13,2016,Northern Boarder,No. of Casualties - Injured,631.0,30.197074783,41.8171186952,4958,30.197074783,41.8171186952
14,2016,Northern Boarder,No. of Accidents,13196.0,30.197074783,41.8171186952,4958,30.197074783,41.8171186952
15,2017,Jazan,No. of Accidents,22161.0,17.2072313962,42.6525807422,18345,17.2072313962,42.6525807422
16,2017,Jazan,No. of Casualties - Dead,466.0,17.2072313962,42.6525807422,18345,17.2072313962,42.6525807422
17,2017,Jazan,No. of Casualties - Injured,2207.0,17.2072313962,42.6525807422,18345,17.2072313962,42.6525807422
18,2017,Al-Jouf,No. of Accidents,10469.0,29.9677445762,39.5570371172,8091,29.9677445762,39.5570371172
19,2017,Al-Jouf,No. of Casualties - Injured,862.0,29.9677445762,39.5570371172,8091,29.9677445762,39.5570371172
